city_1,lat_1,lng_1,country_1,city_2,lat_2,lng_2,country_2,calc_distance_km,dist_km,duration_sec,estd_emissions_gm,estd_emissions_osrm_gm
Poznan,52.4083,16.9336,Poland,Bydgoszcz,53.1219,18.0003,Poland,107.19157726863251,130.52939999999998,6182.9,20580.782835577444,25061.644799999995
Poznan,52.4083,16.9336,Poland,Brest,52.1347,23.6569,Belarus,459.7859132780497,527.2673000000001,23419.9,88278.89534938554,101235.32160000002
Poznan,52.4083,16.9336,Poland,Debrecen,47.53,21.6392,Hungary,638.7377229467899,900.1294,37232.6,122637.64280578366,172824.84480000002
Poznan,52.4083,16.9336,Poland,Cluj-Napoca,46.7667,23.5833,Romania,789.8030169232122,1127.9387,50145.6,151642.17924925673,216564.2304
Poznan,52.4083,16.9336,Poland,Timisoara,45.7597,21.23,Romania,802.8887368177975,1215.7482,44904.6,154154.63746901712,233423.6544
Poznan,52.4083,16.9336,Poland,Strasbourg,48.5833,7.7458,France,777.592564297244,992.4146,35338.1,149297.77234507084,190543.60319999998
Poznan,52.4083,16.9336,Poland,Iasi,47.1622,27.5889,Romania,962.3632790724178,1260.6807,61299.9,184773.7495819042,242050.69439999998
Poznan,52.4083,16.9336,Poland,Ljubljana,46.0514,14.5061,Slovenia,728.6367021258177,1095.7848,41913.5,139898.246808157,210390.68159999998
Poznan,52.4083,16.9336,Poland,Maastricht,50.85,5.6833,Netherlands,797.1890876493236,915.6776,32597.2,153060.30482867014,175810.0992
Poznan,52.4083,16.9336,Poland,Turku,60.45,22.2667,Finland,953.2211680535102,2030.3455,94982.3,183018.46426627395,389826.336
Poznan,52.4083,16.9336,Poland,Kiel,54.3233,10.1394,Germany,499.70226509468137,619.2492,22950.8,95942.83489817881,118895.8464
Poznan,52.4083,16.9336,Poland,Rivne,50.6192,26.2519,Ukraine,676.2433811083822,791.8204000000001,36755.5,129838.72917280938,152029.5168
Poznan,52.4083,16.9336,Poland,Kosice,48.7167,21.25,Slovakia,511.8324535460261,709.2558,29357.0,98271.83108083702,136177.1136
Poznan,52.4083,16.9336,Poland,Ivano-Frankivsk,48.9228,24.7106,Ukraine,672.21708349285,915.6654,37375.9,129065.68003062719,175807.7568
Poznan,52.4083,16.9336,Poland,Magdeburg,52.1317,11.6392,Germany,362.6431459371501,392.9098,14552.5,69627.48401993282,75438.68160000001
Poznan,52.4083,16.9336,Poland,Lille,50.6278,3.0583,France,981.6546122306804,1086.1908999999998,39661.8,188477.68554829064,208548.65279999998
Poznan,52.4083,16.9336,Poland,Zielona Gora,51.9333,15.5,Poland,111.41303306556404,154.0766,6452.3,21391.302348588295,29582.707200000004
